,BUILDING_BP 트래인스킬 사용여부(0/1),BUILDING_BP1 길이옵셋,BUILDING_BP1 오픈/오버랩량 조정,BUILDING_BP2 길이옵셋,BUILDING_BP2 오픈/오버랩량 조정,BUILDING_Belt #1 - 길이,BUILDING_Belt #1 - 폭 ,BUILDING_Belt #2 - 길이,BUILDING_Belt #2 - 폭 ,BUILDING_Belt Offset,BUILDING_Belt 각도,BUILDING_Carcass #1 - 폭 ,BUILDING_Carcass #2 - 폭 ,BUILDING_Inner - 폭 ,BUILDING_PA - 길이,BUILDING_PA - 폭 ,BUILDING_Splice Lap-BP1-우,BUILDING_Splice Lap-BP1-좌,BUILDING_Splice Lap-BP1-중,BUILDING_Splice Lap-BP2-우,BUILDING_Splice Lap-BP2-좌,BUILDING_Splice Lap-BP2-중,BUILDING_Splice Lap-PA-우,BUILDING_Splice Lap-PA-좌,BUILDING_Splice Lap-PA-중,BUILDING_Splice Lap-벨트1-우,BUILDING_Splice Lap-벨트1-좌,BUILDING_Splice Lap-벨트1-중,BUILDING_Splice Lap-벨트2-우,BUILDING_Splice Lap-벨트2-좌,BUILDING_Splice Lap-벨트2-중,BUILDING_Splice Lap-트래드-우,BUILDING_Splice Lap-트래드-좌,BUILDING_Splice Lap-트래드-중,BUILDING_T/D 스티칭 압력 - Setting - 폭,BUILDING_Tread 길이 - 세팅,BUILDING_Tread 길이 - 실측,BUILDING_Tread 폭 - 세팅,BUILDING_Tread 폭 - 실측,BUILDING_멀티롤압력센-BP1-Ch1,BUILDING_멀티롤압력센-BP1-Ch2-우,BUILDING_멀티롤압력센-BP1-Ch2-좌,BUILDING_멀티롤압력센-BP1-Ch3-우,BUILDING_멀티롤압력센-BP1-Ch3-좌,BUILDING_멀티롤압력센-BP1-Ch4-우,BUILDING_멀티롤압력센-BP1-Ch4-좌,BUILDING_멀티롤압력센-BP1-Ch5-우,BUILDING_멀티롤압력센-BP1-Ch5-좌,BUILDING_멀티롤압력센-BP1-Ch6-우,BUILDING_멀티롤압력센-BP1-Ch6-좌,BUILDING_멀티롤압력센-BP1-Ch7-우,BUILDING_멀티롤압력센-BP1-Ch7-좌,BUILDING_멀티롤압력센-BP2-Ch1,BUILDING_멀티롤압력센-BP2-Ch2-우,BUILDING_멀티롤압력센-BP2-Ch2-좌,BUILDING_멀티롤압력센-BP2-Ch3-우,BUILDING_멀티롤압력센-BP2-Ch3-좌,BUILDING_멀티롤압력센-BP2-Ch4-우,BUILDING_멀티롤압력센-BP2-Ch4-좌,BUILDING_멀티롤압력센-BP2-Ch5-우,BUILDING_멀티롤압력센-BP2-Ch5-좌,BUILDING_벨트1 후단팁 위치,BUILDING_벨트2 후단팁 위치,BUILDING_재료길이-BP1 App CV,BUILDING_재료길이-BP1 FrontCV,BUILDING_재료길이-BP1 Mid CV,BUILDING_재료길이-BP1 Mid_사행-선단,BUILDING_재료길이-BP1 Mid_사행-후단,BUILDING_재료길이-BP1 Mid_우 CV,BUILDING_재료길이-BP1 컷팅 CV,BUILDING_재료길이-BP2 App CV,BUILDING_재료길이-BP2 FrontCV,BUILDING_재료길이-BP2 Mid CV,BUILDING_재료길이-BP2 Mid_사행-선단,BUILDING_재료길이-BP2 Mid_사행-후단,BUILDING_재료길이-BP2 Mid_사행파람,BUILDING_재료길이-BP2 Mid_우 CV,BUILDING_재료길이-BP2 컷팅 CV,BUILDING_재료길이-PA App CV,BUILDING_재료길이-PA 컷팅 CV,BUILDING_재료옵셋-BP1,BUILDING_재료옵셋-BP2,BUILDING_재료옵셋-PA,BUILDING_측정번호-BP1,BUILDING_측정번호-BP2,BUILDING_측정번호-PA,BUILDING_트래드 후단팁 위치,Weight_LWM_STD_WGT,Weight_MRM_WGT,Weight_STD_WGT,Weight_UPM_STD_WGT
46071,0.0,100.0,86.0,0.0,0.0,1952.9,212.4,1958.12,198.69,4.7,27.0,621.19,441.6,401.86,1404.5,592.81,5.1,4.6,3.5,0.0,0.0,0.0,7.0,8.6,9.5,5.0,2.8,17.8,0.0,0.0,1.0,2.8,4.1,4.6,220.0,1983.0,1988.28,252.0,250.56,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.15,-5.35,1988.1,1938.5,1406.3,1.1,1.7,1406.0,1405.4,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,589.0,1468.9,1415.0,0.0,1404.5,496.0,0.0,519.0,-4.88,10.469,10.69,10.737,11.005
46080,0.0,100.0,86.0,0.0,0.0,1954.29,212.83,1955.33,198.43,4.7,27.0,621.09,441.6,403.39,1404.5,593.03,7.7,5.9,5.3,0.0,0.0,0.0,7.9,8.4,9.3,3.4,0.0,1.7,0.9,0.6,1.7,0.7,1.1,0.4,220.0,1983.0,1987.92,252.0,250.48,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.21,-5.36,1970.2,1936.7,1407.2,3.1,3.8,1406.0,1406.5,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,758.8,1476.2,1415.0,0.0,1404.5,505.0,0.0,528.0,-5.07,10.469,10.69,10.737,11.005
46083,0.0,100.0,86.0,0.0,0.0,1954.94,212.08,1958.59,199.35,4.7,27.0,621.15,441.6,404.41,1404.5,592.9,5.5,5.3,5.4,0.0,0.0,0.0,7.2,8.2,9.3,4.7,1.5,2.3,0.0,0.0,1.3,0.4,0.7,0.7,220.0,1983.0,1987.57,252.0,250.69,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.21,-5.32,1405.5,1934.9,1405.4,1.4,2.1,1404.8,1406.1,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,782.8,1467.0,1415.0,0.0,1404.5,508.0,0.0,531.0,0.01,10.469,10.69,10.737,11.005
46084,0.0,100.0,86.0,0.0,0.0,1951.42,212.28,1959.36,196.87,4.7,27.0,621.09,441.6,403.9,1404.5,593.0,5.5,5.3,5.4,0.0,0.0,0.0,9.0,9.0,9.3,1.5,1.5,2.0,0.0,0.0,2.0,0.4,0.7,0.7,220.0,1983.0,1987.57,252.0,250.69,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.29,-5.21,1989.9,1934.9,1405.2,2.1,2.3,1404.9,1406.1,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,624.2,1465.8,1415.0,0.0,1404.5,509.0,0.0,532.0,-4.35,10.469,10.7,10.737,11.005
46086,0.0,100.0,86.0,0.0,0.0,2076.45,211.01,1957.91,197.49,4.7,27.0,621.15,441.6,403.9,1404.5,592.9,7.3,5.5,5.7,0.0,0.0,0.0,7.9,9.5,10.6,18.3,18.7,17.8,1.9,-1.9,2.3,0.4,0.7,0.9,220.0,1983.0,1986.14,252.0,250.79,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.95,-5.31,1991.4,1936.7,1405.7,1.7,1.5,1406.1,1406.1,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,653.0,1476.5,1415.0,0.0,1404.5,511.0,0.0,534.0,-7.22,10.469,10.72,10.737,11.005
46088,0.0,100.0,86.0,0.0,0.0,1954.11,212.8,1958.38,198.2,4.7,27.0,621.01,441.6,403.9,1404.5,592.99,6.4,4.1,4.2,0.0,0.0,0.0,9.0,6.4,7.5,4.4,1.2,2.0,0.9,0.0,1.3,1.1,0.1,0.4,220.0,1983.0,1984.36,252.0,250.93,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.18,-5.3,1969.8,1936.7,1405.8,1.3,1.5,1406.0,1405.6,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,949.3,1466.6,1415.0,0.0,1404.5,513.0,0.0,536.0,0.01,10.469,10.82,10.737,11.005
46090,0.0,100.0,86.0,0.0,0.0,1953.11,212.44,1959.18,199.08,4.7,27.0,621.03,441.6,404.91,1404.5,593.09,6.4,6.2,5.3,0.0,0.0,0.0,9.0,9.3,9.5,3.4,2.8,2.0,0.0,0.0,1.3,5.0,2.2,1.8,220.0,1983.0,1985.79,252.0,250.47,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.21,-5.35,1965.4,1936.7,1405.1,2.2,2.3,1405.4,1406.2,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,762.0,1466.4,1415.0,0.0,1404.5,515.0,0.0,538.0,0.01,10.469,10.81,10.737,11.005
46091,0.0,100.0,86.0,0.0,0.0,1954.19,212.7,1957.94,198.95,4.7,27.0,621.01,441.6,405.41,1404.5,593.09,6.4,6.0,5.1,0.0,0.0,0.0,9.4,9.0,9.5,3.4,2.8,2.0,0.0,0.0,1.3,5.0,2.2,1.8,220.0,1983.0,1985.79,252.0,250.44,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.19,-5.44,1992.9,1936.7,1405.4,2.2,2.3,1405.8,1406.2,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,762.0,1466.4,1415.0,0.0,1404.5,516.0,0.0,539.0,0.01,10.469,10.83,10.737,11.005
46092,0.0,100.0,86.0,0.0,0.0,1954.19,212.7,1959.54,199.35,4.7,27.0,621.11,441.6,406.94,1404.5,592.9,6.4,6.0,5.1,0.0,0.0,0.0,9.4,9.1,10.6,3.8,0.0,2.3,0.0,0.0,1.0,2.8,1.1,2.2,220.0,1983.0,1985.79,252.0,250.44,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.19,-5.44,1992.9,1934.9,1405.4,1.2,1.7,1405.8,1406.2,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,693.6,1477.5,1415.0,0.0,1404.5,517.0,0.0,540.0,-7.8,10.469,10.81,10.737,11.005
46093,0.0,100.0,86.0,0.0,0.0,1953.16,212.17,1959.54,199.35,4.7,27.0,621.15,441.6,406.43,1404.5,592.79,5.9,4.6,4.4,0.0,0.0,0.0,7.8,9.9,10.2,5.0,2.5,3.6,0.0,0.0,1.7,2.8,1.1,2.2,220.0,1983.0,1986.5,252.0,250.21,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.17,-5.24,1991.1,1934.9,1405.1,2.1,1.8,1404.5,1405.5,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,695.1,1477.7,1415.0,0.0,1404.5,518.0,0.0,542.0,-7.8,10.469,10.79,10.737,11.005
46094,0.0,100.0,86.0,0.0,0.0,1953.16,212.05,1958.98,198.55,4.7,27.0,621.16,441.6,405.92,1404.5,592.43,5.9,5.1,4.6,0.0,0.0,0.0,9.4,9.9,8.4,5.0,3.1,17.8,0.3,0.0,1.7,1.1,0.4,0.7,220.0,1983.0,1986.5,252.0,250.21,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.27,-5.31,1991.1,1934.9,1405.1,2.1,2.6,1404.5,1405.4,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,1397.3,1477.7,1415.0,0.0,1404.5,519.0,0.0,543.0,-7.84,10.469,10.79,10.737,11.005
46095,0.0,100.0,86.0,0.0,0.0,1953.16,212.05,1959.95,199.0,4.7,27.0,621.16,441.6,405.92,1404.5,592.43,6.0,5.1,4.6,0.0,0.0,0.0,9.4,9.0,9.0,3.4,3.1,17.8,0.0,0.0,2.0,1.8,1.8,2.2,220.0,1983.0,1984.72,252.0,250.0,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.27,-5.31,1990.3,1934.9,1406.0,1.9,2.6,1406.6,1405.8,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,1684.8,1466.9,1415.0,0.0,1404.5,520.0,0.0,544.0,-7.84,10.469,10.75,10.737,11.005
46096,0.0,100.0,86.0,0.0,0.0,1951.02,211.26,1959.95,199.0,4.7,27.0,621.16,441.6,405.42,1404.5,592.41,6.0,5.5,4.2,0.0,0.0,0.0,8.7,8.2,9.0,2.2,0.0,1.0,0.0,0.0,1.0,1.8,1.8,2.2,220.0,1983.0,1984.72,252.0,250.07,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.2,-5.3,1990.3,1934.9,1406.0,1.9,2.3,1406.6,1405.8,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,766.2,1466.7,1415.0,0.0,1404.5,521.0,0.0,545.0,-7.13,10.469,10.69,10.737,11.005
46097,0.0,100.0,86.0,0.0,0.0,1951.69,210.87,1957.67,198.59,4.7,27.0,621.16,441.6,405.92,1404.5,592.67,7.7,5.5,5.9,0.0,0.0,0.0,8.1,6.3,7.5,2.2,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.7,220.0,1983.0,1985.07,252.0,250.07,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.3,-5.3,1989.3,1934.9,1406.0,1.9,2.3,1407.3,1406.7,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,766.2,1466.7,1415.0,0.0,1404.5,522.0,0.0,546.0,-6.99,10.469,10.65,10.737,11.005
46099,0.0,100.0,86.0,0.0,0.0,1953.28,212.46,1959.06,199.19,4.7,27.0,621.1,441.6,405.92,1404.5,592.23,6.0,5.5,5.7,0.0,0.0,0.0,9.2,8.4,8.6,3.1,0.0,2.6,0.0,0.0,0.1,1.1,0.4,0.9,220.0,1983.0,1985.43,252.0,249.91,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.23,-5.31,1991.5,1934.9,1405.1,1.5,2.1,1404.8,1405.4,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,782.5,1477.7,1415.0,0.0,1404.5,524.0,0.0,548.0,-7.39,10.469,10.67,10.737,11.005
46100,0.0,100.0,86.0,0.0,0.0,1953.88,212.46,1958.41,199.19,4.7,27.0,621.09,441.6,406.43,1404.5,592.33,7.1,4.4,5.1,0.0,0.0,0.0,9.2,8.2,8.4,1.2,0.0,0.0,1.2,0.0,1.3,1.1,1.1,1.3,220.0,1983.0,1986.14,252.0,249.81,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.27,-5.27,1991.5,1934.9,1405.4,1.6,2.1,1406.3,1406.2,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,782.5,1477.7,1415.0,0.0,1404.5,525.0,0.0,550.0,-7.34,10.469,10.65,10.737,11.005
